id,code,name,user_type_id:id,reconcile,account_type,parent_id:id,chart_template_id:id
1-228-101,1-228-101,Akum Peny Bangunan,account.data_account_type_fixed_assets,FALSE,normal,1-2,fal_l10n_id
1-228-102,1-228-102,Akum Peny Kendaraan,account.data_account_type_fixed_assets,FALSE,normal,1-2,fal_l10n_id
1-228-103,1-228-103,Akum Peny Peralatan Kantor,account.data_account_type_fixed_assets,FALSE,normal,1-2,,fal_l10n_id
1-228-104,1-228-104,Akum Peny Perlengkapan Kantor,account.data_account_type_fixed_assets,FALSE,normal,1-2,fal_l10n_id
1-228-105,1-228-105,Akum Peny Furnitur Kantor,account.data_account_type_fixed_assets,FALSE,normal,1-2,fal_l10n_id
1-228-106,1-228-106,Akum Peny Software dan Lisensi,account.data_account_type_fixed_assets,FALSE,normal,1-2,fal_l10n_id
2-110-001,2-110-001,Hutang Usaha,account.data_account_type_payable,TRUE,normal,2-11,fal_l10n_id
2-110-002,2-110-002,Hutang Pemegang Saham,account.data_account_type_current_liabilities,FALSE,normal,2-11,fal_l10n_id
2-110-003,2-110-003,Hutang Pihak Ketiga,account.data_account_type_current_liabilities,FALSE,normal,2-11,fal_l10n_id
2-110-004,2-110-004,Hutang Gaji,account.data_account_type_current_liabilities,FALSE,normal,2-11,fal_l10n_id
2-121-001,2-121-001,Hutang Pajak PPh 21,account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id
2-121-002,2-121-002,Hutang Pajak PPh 23,account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id
2-121-003,2-121-003,Hutang Pajak PPh 25,account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id
2-121-004,2-121-004,Hutang Pajak Pasal 4 (2),account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id
2-121-005,2-121-005,Hutang Pajak PPh 29,account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id
2-122-101,2-122-101,PPN Keluaran,account.data_account_type_current_liabilities,FALSE,normal,2-12,fal_l10n_id

2-211-001,2-211-001,Hutang Bank,account.data_account_type_current_liabilities,FALSE,normal,2-21,fal_l10n_id
2-211-002,2-211-002,Hutang Leasing,account.data_account_type_current_liabilities,FALSE,normal,2-21,fal_l10n_id
2-111-001,2-111-001,Uang Muka Penjualan,account.data_account_type_current_liabilities,FALSE,normal,2-11,fal_l10n_id
2-811-002,2-811-002,Deposit Customer,account.data_account_type_current_liabilities,FALSE,normal,2-81,fal_l10n_id
2-900-000,2-900-000,Stock Interim,account.data_account_type_current_liabilities,FALSE,normal,,fal_l10n_id
3-110-001,3-110-001,Modal Dasar,account.data_account_type_equity,FALSE,normal,3,fal_l10n_id
3-110-002,3-110-002,Modal Yang Disetor,account.data_account_type_equity,FALSE,normal,3,fal_l10n_id
3-110-003,3-110-003,Modal Yang Belum Disetor,account.data_account_type_equity,FALSE,normal,3,fal_l10n_id
3-110-004,3-110-004,Prive (Pengambilan Pribadi),account.data_account_type_equity,FALSE,normal,3,fal_l10n_id
3-121-001,3-121-001,Cadangan Modal,account.data_account_type_equity,FALSE,normal,3,fal_l10n_id
3-151-001,3-151-001,Laba Rugi Tahun Lalu,account.data_account_type_equity,FALSE,normal,3-15,fal_l10n_id
3-151-002,3-151-002,Laba Rugi Tahun Berjalan,account.data_account_type_equity,FALSE,normal,3-15,fal_l10n_id
3-900-000,3-900-000,Historical Balance,account.data_account_type_equity,TRUE,normal,,fal_l10n_id
4-100-001,4-100-001,Penjualan,account.data_account_type_revenue,FALSE,normal,4-10,fal_l10n_id
4-200-006,4-200-006,Retur Penjualan,account.data_account_type_revenue,FALSE,normal,4-20,fal_l10n_id
4-200-007,4-200-007,Discount Penjualan,account.data_account_type_revenue,FALSE,normal,4-20,fal_l10n_id
5-100-001,5-100-001,Harga Pokok Penjualan,account.data_account_type_direct_costs,FALSE,normal,5-10,fal_l10n_id
6-110-001,6-110-001,Gaji Karyawan,account.data_account_type_expenses,FALSE,normal,6-10,fal_l10n_id
6-110-002,6-110-002,Komisi dan Bonus Karyawan,account.data_account_type_expenses,FALSE,normal,6-10,fal_l10n_id
6-110-003,6-110-003,Tunjangan Karyawan,account.data_account_type_expenses,FALSE,normal,6-10,fal_l10n_id
6-211-001,6-211-001,Free Gift,account.data_account_type_expenses,FALSE,normal,6-21,fal_l10n_id
6-211-002,6-211-002,Event ,account.data_account_type_expenses,FALSE,normal,6-21,fal_l10n_id
6-211-003,6-211-003,Advertising,account.data_account_type_expenses,FALSE,normal,6-21,fal_l10n_id
6-211-004,6-211-004,Pengiriman Barang Dagang,account.data_account_type_expenses,FALSE,normal,6-21,fal_l10n_id
6-311-001,6-311-001,Internet,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-002,6-311-002,Telepon,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-003,6-311-003,Listrik,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-004,6-311-004,PDAM,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-005,6-311-005,Sumbangan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-006,6-311-006,Iuran Bulanan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-007,6-311-007,Keperluan Dapur,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-008,6-311-008,Perlengkapan Kantor,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-009,6-311-009,Alat Tulis Kantor,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-010,6-311-010,Perlengkapan Kebersihan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-311-011,6-311-011,Pajak Kendaraan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-001,6-411-001,Biaya Perizinan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-002,6-411-002,Biaya Administrasi Bank,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-003,6-411-003,Biaya Konsultan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-004,6-411-004,Biaya Sewa,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-005,6-411-005,Biaya Pemeliharaan & Perawatan Gedung,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-006,6-411-006,"Biaya Perawatan Instalasi Listrik, telepon, internet",account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-007,6-411-007,Pajak,account.data_account_type_expenses,FALSE,normal,6-41,fal_l10n_id
6-411-008,6-411-008,Akomodasi Tamu,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-009,6-411-009,Biaya Pemeliharaan & Perawatan Aset,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-010,6-411-010,Biaya Pengiriman Dokumen/Barang,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-011,6-411-011,BBM kendaraan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-012,6-411-012,Service kendaraan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-013,6-411-013,Parkir & Tol kendaraan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
6-411-015,6-411-015,Asuransi Kendaraan,account.data_account_type_expenses,FALSE,normal,6-31,fal_l10n_id
